encabezado,clase
"Coronavirus suspende teatro, museos y ópera en Europa",0
"En México no hay riesgo por coronavirus, dice AMLO; pide mantener la tranquilidad",1
En Tehuacán aumentan vigilancia por riesgo de dengue,1
Coronavirus: Efectos psicológicos de la cuarentena sobre aislados,1
Se disparan contagios de Covid en Sudamérica,1
Reino Unido prohíbe llegadas de Dinamarca por temores a nueva cepa del covid-19,1
"Saqueos, gritos y protestas: videos revelan el caos en Shanghái ante medidas por covid-19",1
"Pese alerta por coronavirus, sigue en pie Festival de Tehuacán",1
PRD alerta de posible caso de coronavirus en San Lázaro,1
Si coronavirus avanza a pandemia producirá recesión mundial: Moody’s Analytics,1
Consejos de la OMS para mantener la calma ante pandemia del coronavirus,0
Menores en África recibirán primeros fármacos pediátricos contra VIH en 2021,0
EU rompe récord y registra más de 290 mil contagios de Covid-19 en un día,1
ONU lanza plan para enfrentar al Covid-19,0
"Cuba presentará tratamientos contra covid-19 y el cáncer en 50 países, incluido México",0
“No quiero tu coronavirus en mi país”; joven narra cómo fue agredido en Londres,1
"Padecimientos mentales se han incrementado con la pandemia, alerta IMSS",1
Coronavirus: por qué existen temores de una escasez global de medicamentos genéricos por la epidemia,1
Detectan caso positivo de Covid-19 en penal de Tamaulipas; hay 2 contagios y 5 sospechosos,1
Las Afore son 'contagiadas' por coronavirus; minusvalías llegan a más de 26 mil mdp,1
SHCP: pandemia nos va a pegar; necesitamos apoyo de banca,1
"Coronavirus en Jalisco, noticias del 9 de julio",0
"El escritor chileno, Luis Sepúlveda dio positivo en Coronavirus",0
Entre reproches y temor viven en Tepatitlán tras casos sospechosos de coronavirus,1
Crucero rechazado en Jamaica por temor a coronavirus se dirige a México,1
Tokio 2020 extrema medidas por Coronavirus,0
BMV cierra a la baja por riesgos ante coronavirus,1
"Problemas mentales, lo siguiente de la pandemia",1
Se desata alerta mundial por expansión del coronavirus,1
EU emite alerta para todos los desinfectantes de mano provenientes de México,1
Crearán laboratorios para estudio de cáncer del pulmón,0
Coronavirus podría afectar a empresas mexicanas con presencia en China,0
Alerta Cofepris sobre robo de 37 mil medicamentos para cáncer infantil,1
"Enfermedades mentales, el lado oscuro del Covid-19",1
"En Morelos, presentan plan para reapertura y reactivación económica por coronavirus",0
"Salud mental de los jóvenes, una pandemia que urge atender",1
Bolsa mexicana pierde en apertura por preocupaciones de virus chino,1
Porno gratis en Italia por coronavirus,1
Hijo de Silvia Pinal asegura que su madre regresó al teatro para combatir la depresión,0
EU acusa a Rusia de crear campaña de desinformación sobre coronavirus,1
SinoVac inicia fase final de ensayo de vacuna contra coronavirus,0
Hay 16 municipios de Nuevo León sin casos positivos de covid-19 en mayo,0
Estas señales son una alerta de suicidio,1
"Ante coronavirus, CdMx está lista: Sheinbaum",0
Crónicas del coronavirus. Capitalinos dicen que aún no es momento de entrar en pánico,1
Universidades de La Laguna implementan medidas ante coronavirus,0
Declaran a toda la CDMX en atención prioritaria por Covid-19,0
"Reino Unido: coronavirus, una“amenaza grave e inminente”",1
Edomex suma 34 mil 253 casos positivos de coronavirus,0
Cataluña ordena cerrar bares y restaurantes ante rebrote de coronavirus,0
Nueva York cierra escuelas públicas hasta septiembre por Covid-19,0
Hay más de 3 mil casos de dengue en el país; van 11 muertos,1
"Covid-19 puso en pausa vacunación contra sarampión en el mundo, alerta la OMS",1
¡Prohibido ir por cigarros y por prostitutas! Así las historias en Italia por coronavirus,1
Alertan que pacientes con Covid-19 dejan hospitales en España sin ser dados de alta,1
"México vive situación ""extremadamente compleja"" por Covid-19: OPS",1
Éste es el protocolo para identificar a sospechosos de coronavirus en el AICM,0
Cuál es el riesgo de que a una persona con Covid-19 le dé trombosis,1
"Por coronavirus, Japón cancela celebración del cumpleaños de emperador Naruhito",0
"En China, se derrumba hotel que albergaba a posibles portadores de coronavirus",0
Virus pega a las Afore y rompe su buena racha,1
"vOdontólogos, grupo de alto riesgo de contraer Covid-19",1
"Coronavirus en China: ""Peor que la crisis financiera de 2008"", la histórica caída en la ""fábrica del mundo""",1
"Empresarios están ""preocupadísimos"" por avance del coronavirus: CCE",1
Georgia retrasa elecciones primarias por coronavirus,0
"“Mi recuperación va bien”, dice Ricardo Anaya tras dar positivo a Covid-19",0
Covid-19 Hidalgo: grupo de 20 a 49 años es el de mayor riesgo por el virus,1
Expertos alertan riesgo de pandemia por coronavirus,1
"NL, en alerta ante posible caso de coronavirus en el país",1
Clausuran nueve negocios en Edomex por incumplir con medidas sanitarias ante Covid-19,0
"Coronavirus y el ""rating"" del apocalipsis zombi",1
Gobierno de Canadá afirma que hay varios posibles casos de coronavirus,0
Analizan infección por dengue en bebé que dio positivo a Covid-19 en Cuernavaca,1
Covid Coahuila y Durango 3 de agosto. Noticias y casos de hoy,0
Aerolíneas suspenden vuelos a China por coronavirus,0
OMS eleva la alerta de propagación de coronavirus a “muy alta”,1
Hay 38 casos sospechosos de coronavirus en México,0
Viceministro iraní de Salud da positivo al coronavirus,0
"Se registran 496 casos nuevos de covid-19, se suman 49 muertes",0
67% de municipios en Jalisco con casos de coronavirus también con dengue,0
Sugieren a empresas contar con plan de contingencia ante coronavirus,0
Actor italiano queda “atrapado” con cadáver de su hermana infectada de coronavirus,1
Reportan dos posibles casos de coronavirus en Florida; declaran emergencia sanitaria,1
"Coronavirus o no, el cine ha sido ""infectado"" infinidad de veces",1
"Coronavirus en China, noticias de última hora",0
El Diamond Princess: de crucero de ensueño a una prisión por el coronavirus,1
Nueva York eleva a alto su nivel de alerta por Covid-19,1
Coronavirus mantiene en alerta comercio internacional de México,1
Los casos de influenza en México son AH3N2,0
La pandemia avanza en un mundo cada día más confinado,1
Tailandia inicia la vacunación contra covid-19 con dosis de Sinovac,0
Florida se suma a Washington y declara emergencia sanitaria por coronavirus,1
Aún es pronto para evaluar impacto de coronavirus en economía: FMI,0
Crea UNAM grupos de investigación para combatir la Covid-19,0
"En terapia, 67 infectados con medicamento contaminado en Tabasco",1
Este martes inicia vacunación contra covid-19 a adultos mayores,0
Kun Agüero anuncia que da positivo a coronavirus,0
"En Wuhan, epicentro del coronavirus, el miedo aumentó ante la epidemia",1
Coronavirus amenaza los millonarios ingresos de la Liga MX,1
Niegan arribo a Cozumel a crucero rechazado en Jamaica por temor a coronavirus,1
París pasa a alerta máxima por expansión del Covid-19,1
Prevén usar hospital inflable ante virus,0
Descartan cancelar eventos masivos en Coahuila por coronavirus,0
"“¡Por favor, alimenten a mi gato!”: las mascotas, víctimas colaterales del coronavirus",1
Repuntan contagios de covid-19 en Guanajuato; se registran 499,1
Cuál es el peligro del metanol detectado en EU en geles desinfectantes,1
Universidad de Oxford defiende efectividad de su vacuna contra Covid-19,0
Argentina prolonga restricciones por covid-19 hasta el 21 de mayo,0
Contagios de Covid-19 sin freno alarma a toda Europa,1
CDMX mantiene estabilidad en ocupación hospitalaria por coronavirus: Sheinbaum,0
Hay 190 mil muertos más que el año pasado,1
Virus letal de China arriba a Europa,1
Brexit y Covid dejan a Reino Unido más aislado que nunca,1
Podría no haber temporada de NFL por Covid-19,0
"Pandemia, agudiza exclusión y desigualdad de la niñez",1
Cronología de cómo el coronavirus ha alertado al mundo,1
Histeria en España por el coronavirus,1
"“Coronavirus en España, lo más parecido a un campo de batalla”",1
CDMX continúa en Fase 1 por coronavirus; no se cancela el Vive Latino: Sheinbaum,0
Monterrey se prepara ante posible emergencia por coronavirus,1
Terror en Guayaquil por Covid-19: abandonan cadáveres en las calles; no hay lugar para enterrarlos,1
"Por coronavirus, se esperan minusvalias en Afores: Consar",0
Habilitan hospitales para atención de coronavirus en Querétaro,0
Periodista fue infectado por coronavirus (Covid-19) tras cubrir Champions League,1
"En Argentina, niños reciben dosis de refuerzo contra el covid-19",0
Coronavirus llega a EU; refuerzan los controles,0
Viruela del mono se extiende a Suecia e Italia,0
Alerta salud por incremento de dengue en Yucatán; confirma 139 casos,1
¿Cuáles son los síntomas del coronavirus de Wuhan?,0
"Al borde de las lágrimas, Nerea Godínez admite tener depresión por muerte de Octavio Ocaña",1
Gobierno de CdMx anunciará protocolos contra coronavirus,0
Panamá reduce a 10 días aislamiento en casos positivos de covid-19,1
Da positivo a Covid-19 el senador Osorio Chong,0
"Cuba iniciará ensayos clínicos de Soberana 02, su tercera vacuna contra el coronavirus",0
SIP pospone reunión en México por temor al coronavirus,1
Otra epidemia amenaza a Brasil... una nueva cepa del zika,1
"Zulia, foco de la pandemia de coronavirus en Venezuela",1
Ansiedad y depresión han generado problemas sexuales en jóvenes tras confinamiento,1
Colapsa un hotel designado para alojar a afectados por coronavirus en China,0
Estos son los asientos de avión con mayor riesgo de contagio,1
Riesgo de descompensarse enfermos de asma por Covid-19,1
Suman más de 41 millones de desempleados en EU por crisis de Covid-19,1
China califica al coronavirus como la crisis de salud más grave desde 1949,1
Suman 47 casos de sarampión: Salud,0
Guatemala cierra fronteras tras confirmar 6 contagios y una muerte por coronavirus,1
Llega a México segundo lote de vacunas anticovid de Pfizer,0
"Coronavirus: pánico, sugestión y resignación",1
Periodontitis eleva casi en nueve veces riesgo de muerte por Covid-19: experto,1
Italia señala posible infección de coronavirus en mujer procedente de Wuhan,1
20% de los infectados por coronavirus no tiene síntomas: estudio,1
Reúnen información científica de coronavirus en plataforma digital,0
Por realizar fiesta familiar en plena pandemia aíslan a 900 personas en Alemania,1
Caducaron 9 mil vacunas contra Covid-19 en Coahuila: Secretaría de Salud,0
Estas son las medidas que está tomando EU contra el coronavirus,0
"Detectan brote de Covid-19 en penal de La Paz, BCS",0
El dengue se puede confundir con covid-19: Jurisdicción Sanitaria,0
Han muerto en el país 74 funcionarios víctimas de Covid-19,0
"Por temor al Covid-19, pobladores de Sayulita impiden acceso a turistas",1
"Confirman nuevos casos de coronavirus en Canadá, Camboya y Australia",0
Coronavirus en CdMx 'pone en cuarentena' la Alameda Central,1
Inauguran Hospital Anexo para pacientes con covid-19 en La Margarita,0
CFE reporta 16 empleados con coronavirus,0
Inicia la vacunación de adultos mayores contra Covid- 19 en Iztapalapa y GAM,0
Primer poblano positivo por coronavirus,0
Covid-19 se suma a otros cuatro virus mortales sin cura,1
"Con una proteína, hallan posible tratamiento para cáncer del sistema nervioso",0
Aíslan en Nuevo León a siete de una familia por sospecha de coronavirus,1
Brinda Secretaría de Salud apoyo psicológico a personal y a la población por covid-19,0
Alerta por tres posibles casos de Coronavirus en Jalisco,1
Habilitan línea teléfonica para orientación del Covid-19,0
Mapa en Google muestra en vivo casos registrados de coronavirus,0
Pandemia deja atrapado a hondureño en México,1
Complica el Covid-19 la salud de personas con cáncer de mama,0
Jalisco analiza suspender eventos masivos por Covid-19,0
"¡Vive en tu ADN! ARN mensajero, base de la vacuna anticovid y candidato a luchar contra el cáncer",1
¿Qué significa la palabra coronavirus?,0
Vacuna contra Covid-19 será universal y gratuita: López-Gatell,0
"Por Coronavirus, Tokio intenta sofocar el miedo de una cancelación olímpica",1
Corea del Sur decreta máxima alerta por aumento de casos de coronavirus,1
Tenemos una razón más para beber pulque: previene el cáncer de acuerdo a estudios científicos,1
California cierra bares de Los Ángeles y 6 condados más para combatir el Covid-19,0
De Chernobil al coronavirus,1
México suma 234 mil 675 muertes por Covid-19,0
Organizaciones llaman a tomar medidas en cárceles por Covid-19,0
Cofepris autoriza la fase 3 del ensayo de la vacuna contra Covid-19 de Inovio,0
"Zika, dengue y chikungunya, riesgo latente en Yucatán, advierten",1
"La peor emergencia sanitaria desde 1949 es el coronavirus, dice Xi Jinping",1
Es pronto para entender consecuencias de nueva variante del coronavirus: OMS,0
“Semana Santa propiciará la tercera ola de contagios”,1
Alza en contagios en Guerrero por coronavirus pone en riesgo semáforo naranja,1
Aíslan a Reino Unido por nueva cepa de Covid,1
Instalan filtros en aeropuertos de Coahuila por Coronavirus,0
Angustia impacta durante el confinamiento en Argentina,1
Gobernador de NY amenaza con revertir desconfinamiento tras violar protocolos,1
"Por temor a coronavirus, pareja viaja en un avión envuelta en plástico",1
El mundo adopta medidas drásticas ante el avance del coronavirus,1
Wall Street se derrumba ante coronavirus; Dow Jones tiene caída récord,1
OMS trabaja con Google contra la desinformación del coronavirus,0
"De enero a octubre detectan 600 casos de VIH SIDA, 400 son atendidos en Jalisco",0
Variante brasileña: se amplía amenaza en América Latina,1
5 de cada 10 mujeres embarazadas sufrieron depresión por estragos del covid-19,0
España registra 100 muertos en las últimas 24 horas por coronavirus,1
UAEM aplica 700 pruebas Covid-19,0
"Profesor del IPN que viajó a China, posible portador de coronavirus en México",0
Casos confirmados de Covid-19 en Jalisco al 11 de junio,0
"Ante Covid-19, va protocolo para eventos masivos",0
"En Guanajuato, casos de dengue aumentaron 658%",0
Aumentan contagios de Covid-19 en el norte del país,1
ISSSTE presenta aumento en supervivencia de pacientes con cáncer de ovarios,0
Comienzan fumigaciones en Durango para prevenir dengue,0
Madrid suspende las clases por coronavirus; España registra más de mil 200 casos,0
Buscan tratamiento definitivo contra el sida,0
Wuhan se aísla para contener la epidemia del coronavirus,1
El temor al coronavirus también afectó a los mercados,1
Más de 800 mil personas han sido vacunadas contra el covid-19 en Rusia,0
Mapa de covid-19 en México: después de dos semanas sube positividad de casos,0
Hyundai suspende su producción en Corea por coronavirus,0
De la Fuente pide no subestimar coronavirus,0
El riesgo de padecer covid-19 sintomático aumenta si has tenido dengue,1
Llegan al Edomex 102 mil 760 dosis de vacunas contra el Covid-19,0
¡Histórico! IMSS realiza primer trasplante en México de donador positivo a covid,1
México reporta 15 mil 529 casos confirmados acumulados de Covid-19,0
PSG estalla por cómo les avisaron del contagio de covid-19 de Mbappé,1
"Suman 67,326 muertos y 629,409 contagios por Covid-19",1
Se incrementan pacientes internados por covid-19 en Nuevo Laredo,0
Secretario de Salud de Oaxaca descarta presencia de la subvariante ómicron BA.2,0
"OMS dice nuevo virus en China podría propagarse, alerta a hospitales",1
Cofepris alerta sobre lotes falsos de medicina para tratar melanoma y cáncer de pulmón,1
Aumentarán las cifras de depresión cuando termine el aislamiento,1
OMS descarta activar alerta internacional por coronavirus,1
Registran 211 casos de dengue en Tamaulipas; investigan 7 defunciones,0
¿Cuál es el tratamiento para el coronavirus?,0
Coronavirus 'devora' su restaurante y ahora vende comida por pedido,1
"Nepal confirma caso de coronavirus, el primero en el sur de Asia ",0
Continúa recuperándose paciente covid-19 que recibió trasplante en Nuevo León,0
"Trabajadores agrícolas y sus familias, en grave riesgo de contagio y muerte por Covid-19",1
Papa celebra primera audiencia pública tras 6 meses suspendidas por el Covid,0
Finlandia confirma su primer caso de coronavirus,0
El aterrador silencio que impregna Roma por el coronavirus,1
Tailandia niega entrada a crucero por sospechas de coronavirus,0
Vacuna contra Covid-19 debe pasar por procedimientos rigurosos: OMS a Rusia,0
Hong Kong declara el nivel de alerta máximo debido al coronavirus,1
"Coronavirus vence a James Bond, posponen estreno de ""No Time To Die""",1
Amenaza histórica el Covid-19 y sumir a 21 millones en la pobreza,1
Confirman primer caso de coronavirus en Querétaro: un hombre que llegó de España,0
Vacuna experimental contra VIH/sida fracasa en pruebas,0
Israel da marcha atrás a tercera dosis anticovid para personas con cáncer,0
"En Guanajuato, Salud exhorta a no creer en productos milagro contra coronavirus",0
"El MWC se mantiene, a pesar del coronavirus",0
Santiago reporta baja afluencia en comercios ante alza en casos de covid-19,0
Alerta Cofepris por venta ilegal de dosis de Moderna,1
Carne a China ¿por coronavirus?,1
El cáncer es la segunda causa de muerte en el mundo: UNAM,0
Confirman defunción por dengue con signos de alarma en Sinaloa,1
Hospitalizan a la Jefa Fabiana en La Raza por Covid-19,0
Regreso a clases no trajo tercera ola Covid como preveían los “evangelistas de la catástrofe”,1
¿Cuál es la diferencia entre pandemia y epidemia?,0
Autoridades de Coxcatlán alertan por resistencia de mosquito transmisor de dengue,1
Secretaría de Salud Jalisco da seguimiento a posibles casos de coronavirus,0
Expertos chinos que identificaron el Covid-19 alertan del peligro del virus H5N8,1
"México, a un paso de los 195 mil muertos por Covid",1
"Fue al hospital con un sarpullido, pero el diagnóstico la devastó; mujer cuenta su historia en TikTok",1
"AMLO pide no alertarse por coronavirus, ""no es tan fatal""",1
Casos confirmados de Covid-19 en Puebla al 17 de julio,0
OMS alista reuniones con científicos por brote de coronavirus,0
España registra un nuevo repunte de contagios y muertes por coronavirus,1
India detecta casi 9 mil infecciones de hongo letal en pacientes con coronavirus,1
"En rezago de vacunación contra Covid, alrededor de 250 mil capitalinos",0
Italia aprueba otorgar 7 mil 500 mde para combatir coronavirus en el país,0
Se desatan compras de pánico en frontera de Tamaulipas,1
Implementan acciones vs dengue,0
Nintendo podría tener desabasto de consola Switch por coronavirus,0
"Cierran bares, casinos y gimnasios en Querétaro para evitar contagios masivos de Covid-19",1
Se mantendrá módulo de información sobre coronavirus en AIT,0
El estudio que muestra el bajo riesgo de los niños de enfermar de gravedad por la covid-19,1
"""Dejen de mentirle a la sociedad"", pide Silvano Aureoles al IMSS",1
Autoridades de salud de Tehuacán trabajan para reducir casos de dengue entre la población,0
África impacta al mundo por su resistencia al covid-19; científicos explican la razón,1
¿Qué implica una declaratoria de emergencia en EU?,0
El riesgo económico del coronavirus,1
Pandemia de coronavirus resurge en Europa y multiplicará el número de pobres en el mundo,1
"Ante covid-19, ayudante de farmacia del IMSS da atención psicológica a sus compañeros",0
"México, en alerta a investigación por transmisión del coronavirus 2019- nCoV",1
Alerta Cofepris por venta ilegal de vacuna contra Covid de AstraZeneca,1
Como Emprender en Tiempos de Crisis (Coronavirus),1
Juego de apocalipsis viral lo más descargado en China por coronavirus,1
"Cansancio, hartazgo y miedo invadirán Navidad por Covid-19",1
¿Dónde hacerse la prueba de VIH gratis en CDMX?,0
Variante británica de Covid-19 ya es la predominante en Estados Unidos,0
Johnson & Johnson iniciará ensayos clínicos de vacuna contra Covid-19,0
Coronavirus afecta “salud” de los celulares Huawei,1
¿Qué implica que la OMS declare una emergencia internacional?,0
Atraca en Montevideo crucero australiano con más de 100 casos de Covid-19,0
"Piden fumigar en Torreón, hay 262 casos de dengue",0
Hospital General de Torreón está al 96% de ocupación,0
Crece alerta global por virus de China,1
Lo atropellan y por miedo a Covid-19 pide no ser trasladado a un hospital,1
El Foco. El crucero sospechoso que ancló en Cozumel,1
[Imágenes] China vuelve al confinamiento ante amenaza por quinta ola del Covid,1
"OMS alerta de un ""tsunami"" de nuevos casos de ómicron",1
EU examina restringir acceso desde frontera con México,0
Hospitales se saturan en Nuevo Laredo,0
Realizan con éxito la primera quimioterapia intraarterial en Torreón,0
Niegan desembarco a 21 tripulantes contagiados de Covid en crucero de Puerto Vallarta,1
Emprenden campaña en Guanajuato para prevenir y controlar el dengue,0
En NL hay más riesgo de morir por influenza que por coronavirus: especialista,1
"Qué es el coronavirus, cuáles son sus síntomas y cómo se contagia",0
Alertan sobre riesgos de personas en situación de calle por Covid-19,1
Suman 13 muertos en maquiladoras de Juárez por Covid-19,1
Suman 15 diputados con Covid-19; una acudió a sesión el pasado miércoles,0
"Cero cuarentenas: Nicaragua, a contracorriente con coronavirus",1
"¡Aunque te pongas! Hombre sobrevive a covid-19, malaria, dengue y a peligrosa mordedura de serpiente",1
Aumentan cifras de cáncer en México; se registraron 195 mil casos nuevos en 2020,0
Nueva York aprueba 40 millones de dólares para combatir coronavirus,0
Coronavirus ataca a reporteros en medio de la cobertura informativa,1
Francia prohíbe utilizar la hidroxicloroquina para tratar el Covid-19,0
En Alerta el Gobierno capitalino por nuevo incremento en hospitalización,1
Por tercer día consecutivo caos en el AICM por nueva ola de contagios,1
Por qué CDMX sigue en semáforo naranja pese a estar al borde del rojo; Gatell explica,0
Suspenden actividades SCJN y juzgados federales por contingencia de Covid-19,0
"Julio, hasta ahora, el mes más letal de la pandemia",1
Guatemala alerta e identifica enfermedad inflamatoria en niños con covid-19,1
"Coronavirus en Italia, noticias del 25 de marzo",0
Pasajeros provenientes de Hubei estarán sujetos a revisiones médicas en México,0
"Paciente de coronavirus en Sinaloa, en aislamiento 2 semanas más",1
Casos confirmados de coronavirus en Jalisco al 17 de abril,0
Inmunidad al Zika aumenta riesgo de sufrir dengue más grave,1
Muere un tercer pasajero en crucero Diamond Princess por coronavirus,0
Líbano cierra sus bares por repunte de casos Covid-19,0
Coronavirus deja cifra récord de contagios en 24 horas en el mundo: OMS,1
EU advierte que coronavirus llegará al país; pide a ciudadanos prepararse,0
¡Histórico! Aplazan la Eurocopa hasta 2021 por coronavirus,1
EU retira permiso para el uso de hidroxicloroquina contra el coronavirus,0
Jovenes en depresión tras más de un año de aislamiento por pandemia: experta de UdeG,1
"China aprobaría primer fármaco anticovid en diciembre, ¿será más eficaz?",1
Japón y Corea del Sur registran cifras récord de casos por covid-19,0
Éstas son las medidas de la SEP para evitar casos de coronavirus en estudiantes,0
Coronavirus no asusta a Tepito: “vendemos o nos morimos”,1
Lo que debes saber sobre el brote de coronavirus en China,0
China concluye segundo hospital para tratar a pacientes de coronavirus,0
Las medidas extraordinarias que tomaron las ciudades del mundo ante el coronavirus,1
Alertan que continuarán los saqueos a medida que avance la fase 3 y 4 de coronavirus,1
"Covid-19: El ojo resiste la infección del coronavirus, afirma estudio",1
El Metro implementa medidas preventivas de higiene ante coronavirus,0
Casos de coronavirus se aceleran fuera de China a ritmo “preocupante”,1
Sube a 360 muertos por coronavirus en China; hay 14 mil contagios,1
"EU pide a sus ciudadanos reconsiderar viajes a México, por Covid-19",0
"Covid-19 pone en riesgo al periodismo, alerta Unesco",1
"¿Covid-19, creación de China? EU investiga su origen",1
"Por virus, cae el comercio entre México y China",0
La cronología del coronavirus chino que amenaza al mundo,1
"""El mundo entero tiene que actuar ante el coronavirus"": OMS",0
Ajustan hospitales de Querétaro ante coronavirus,0
Instalan módulos para detección del VIH Sida en la alcaldía Iztapalapa,0
"Como la influenza, covid-19 podría convertirse en enfermedad estacional: Ssa",0
Las 3 formas de protegerte del coronavirus (además de lavarte las manos),0
Llega cuarto cargamento con insumos y equipo médico,0
Coronavirus 'seca' bancos de sangre en México,1
China acusa a EU de no ayudar y crear pánico por el coronavirus,1
OMS declara emergencia internacional por coronavirus,0
OMS autoriza la vacuna de CanSino contra el Covid-19,0
Hombre de 100 años de edad se cura de coronavirus en China,0
Alza de contagios prende alerta en zonas turísticas,1
Podría darse un rebrote de coronavirus en invierno: López-Gatell,0
Más diputados resultan contagiados de Covid-19,1
"Coronavirus, ""una grave amenaza mundial"", advierte OMS",1
Escuelas se cerrarán cuando tengan al menos dos casos de coronavirus: Salud,0
"Entre soledad y miedo, la lucha de un médico contra el coronavirus en Hong Kong",1
Cifras de muertos por covid-19 “no son reales”: arzobispo de Puebla,1
Maduro declara cuarentena en Caracas y otros estados por 17 casos de coronavirus,1
Filipinas registra la primera muerte por coronavirus fuera de China,0
Romo: estamos ante emergencia nacional y global,1
Suspenden las competiciones no profesionales de futbol en España por coronavirus,0
Personal médico realiza paro en plena pandemia de Covid-19,1
"En Tlaxcala el regreso a clases esta en riesgo, dependerá del semáforo epidemiológico",1
AMLO da positivo a Covid-19 por segunda ocasión,0
Distrito escolar en Seattle se pone en cuarentena por el coronavirus,1
Confinamiento ha incrementado el riesgo de niñas y mujeres de ser víctimas de violencia: Especialista UNAM,1
Identifican un nuevo coronavirus responsable de una misteriosa neumonía en China,1
Italia impone más restricciones por aumento de casos por covid-19,0
"Crean una crema que alivia la hipersensibilidad en la piel, producto de quimioterapias",0
"Por Covid-19, sigue leve crecimiento en hospitalizaciones en CDMX",0
No hay razón para alarmarse por el coronavirus: titular de Salud en CDMX,0
Expertos de la UNAM ven riesgo de contagio masivo de Covid-19 en Vive Latino,1
AMLO descarta rebrote de Covid-19 en el país,0
"Trastorno del sueño, fatiga y desánimo, las consecuencias del Covid-19",0
"Mexicanos a bordo de crucero aislado por coronavirus, a punto de desembarcar",1
Coronavirus: morir aislado,1
OMS alerta que habrá más casos de viruela del mono,1
"En un mes, Hidalgo registra 12 muertes por covid",0
Este sábado concluirá vacunación de maestros en Coahuila,0
Hay alerta en PEMEX por contagios masivos de Covid-19,1
STPS emite recomendaciones de prevención a empresas ante coronavirus ,0
La variante sigilosa que podría escapar las pruebas Covid: Ómicron BA.2,1
Pandemia económica por Coronavirus,1
Papa Francisco se ausenta de retiro espiritual de Cuaresma por resfriado,0
Gabinete de Sinaloa está infectado por coronavirus,1
"IMSS implementa atención telefónica para atender salud mental de niñas, niños y adolescentes",0
"""Es como si el 11-S se repitiera a diario"": paramédico que lucha contra el Covid-19 en NY",1
Diario danés hace caricatura sobre el coronavirus; China exige disculpas,0
Reporta Edomex 6 nuevos casos de covid-19 este miércoles,0
"Coronavirus podría causar más de 3 mil muertes en el mundo, según científicos",0
"Dos años y dos meses después, Cuba vive su primer día sin cubrebocas contra el Covid-19",0
Covid-19 vuelve a poner en jaque a sistemas de salud de todo el mundo,1
"¿Cuál es la diferencia entre pandemia, epidemia y una infección endémica?",0
Depresión dispara intentos de suicidio en Tamaulipas,1
¡No sólo hospitales! Llegan a formarse desde temprano para cremaciones en panteón,1
Reportan los primeros casos de pacientes con Covid y dengue en Morelos,0
Viruela del mono llega a América: confirman primer caso en EU y 13 sospechosos en Canadá,0
2020: EL AÑO QUE ATACÓ EL CORONAVIRUS. DÍA 13,1
